CMIP6 name,RCMIP name,RCMIP category,longname,unit,warnings,variables of OSCAR used for calculation,OSCAR-CDRMIP,OSCAR-ZECMIP,OSCAR-LUMIP,OSCAR-RCMIP,OSCAR-CMIP6
co2,,,Atmospheric CO2,ppm,,['D_CO2'],0,1,1,0,1
co2mass,,,Total Atmospheric Mass of CO2,PgC,,['D_CO2'],1,0,1,0,1
dissicos,,,Surface Dissolved Inorganic Carbon Concentration,umol kgSW-1,,"['dic_0', 'D_dic']",1,1,0,0,1
dpco2,,,Delta PCO2,ppm,,"['D_CO2', 'D_pCO2']",1,0,0,0,1
erf_tot,,,Total Effective Radiative Forcing at the Top of the Atmosphere,W m-2,,['RF_warm'],1,1,0,0,1
fFire,,,Carbon Mass Flux into Atmosphere Due to CO2 Emission from Fire Excluding Land-Use Change,PgC yr-1,,"['D_efire','D_Aland','D_Efire_bk','D_Ehwp']",1,0,1,0,1
fFireAll,,,Carbon Mass Flux into Atmosphere Due to CO2 Emission from Fire Including All Sources,PgC yr-1,,"['D_efire','D_Aland','D_Efire_bk','D_Ehwp']",1,0,1,0,1
fLuc,,,Net Carbon Mass Flux into Atmosphere due to Land Use Change,PgC yr-1,Forest regrowth accounted.,['D_NBP_bk'],1,1,1,0,1
fco2nat,,,Surface Carbon Mass Flux into the Atmosphere Due to Natural Sources,PgC yr-1,"Taken as the sum of the ocean sink, land sink and permafrost CO2 emissions.","['D_Focean', 'D_Fland', 'D_Epf_CO2']",0,1,0,0,1
fgco2,,,Surface Downward CO2 flux into the ocean,PgC yr-1,,['D_Focean'],1,1,0,0,1
fProductDecomp,,,Flux from anthropogenic pools on land use tile into atmosphere,PgC yr-1,,['D_Ehwp'],0,0,0,0,0
fProductDecompLut,,,Net Carbon Mass Flux from Wood and Agricultural Product Pools on Land Use Tile into Atmosphere,PgC yr-1,,['D_Ehwp'],0,0,1,0,1
fLulccProduct,,,Carbon Harvested Due to Land-Use or Land-Cover Change Process That Enters Anthropogenic Product Pools,PgC yr-0,,"['D_Fveg_bk','D_Fsoil1_bk','D_Fsoil2_bk','D_Fhwp']",0,0,0,0,0
fLulccProductLut,,,Carbon Harvested Due to Land-Use or Land-Cover Change Process That Enters Anthropogenic Product Pools on Tile,PgC yr-1,,"['D_Fveg_bk','D_Fsoil1_bk','D_Fsoil2_bk','D_Fhwp']",0,0,1,0,1
fLulccResidue,,,Carbon transferred to soil or litter pools due to land-use or land-cover change processes,PgC yr-0,,['D_Fslash'],0,0,0,0,0
fLulccResidueLut,,,Carbon Transferred to Soil or Litter Pools Due to Land-Use or Land-Cover Change Processes on Tile,PgC yr-1,,['D_Fslash'],0,0,1,0,1
fLulccAtm,,,Carbon transferred directly to atmosphere due to any land-use or land-cover change activities including deforestation or agricultural fire,PgC yr-0,,"['D_NPP_bk','D_Efire_bk','D_Rh1_bk','D_Rh2_bk','D_Ehwp']",0,0,0,0,0
fLulccAtmLut,,,Carbon Transferred Directly to Atmosphere Due to any Land-Use or Land-Cover Change Activities,PgC yr-1,,"['D_NPP_bk','D_Efire_bk','D_Rh1_bk','D_Rh2_bk','D_Ehwp']",0,0,1,0,1
lossch4,,,Yearly Loss of atmospheric Methane,TgC yr-1,,['D_Fsink_CH4'],1,0,0,0,1
nbp,,,Carbon Mass Flux out of Atmosphere Due to Net Biospheric Production on Land,PgC yr-1,Computed as npp - rh - fire - harv -luc,"['D_npp','D_rh1','D_rh2','D_Aland','D_efire','D_Efire_bk','D_NPP_bk','D_Efire_bk','D_Rh1_bk','D_Rh2_bk','D_Ehwp','D_eharv', 'D_egraz','D_Eharv_bk','D_Egraz_bk']",1,1,1,0,1
necb,,,Net Carbon Mass Flux,PgC yr-1,Computed as npp - rh - fire - harv,"['D_npp','D_rh1','D_rh2','D_Aland','D_efire','D_Efire_bk','D_NPP_bk','D_Efire_bk','D_Rh1_bk','D_Rh2_bk','D_Ehwp','D_eharv', 'D_egraz','D_Eharv_bk','D_Egraz_bk']",0,0,0,0,1
